"time","v_new","n_bounce","$whenCondition3","$whenCondition2","$whenCondition1","flying","impact","h","v","der(h)","der(v)",
0.35,0,0,0,0,0,1,0,0.399134,-3.4335,-3.4335,-9.81,
0.36,0,0,0,0,0,1,0,0.364309,-3.5316,-3.5316,-9.81,
0.37,0,0,0,0,0,1,0,0.328502,-3.6297,-3.6297,-9.81,
0.38,0,0,0,0,0,1,0,0.291715,-3.7278,-3.7278,-9.81,
0.39,0,0,0,0,0,1,0,0.253946,-3.8259,-3.8259,-9.81,
0.4,0,0,0,0,0,1,0,0.215197,-3.924,-3.924,-9.81,
0.41,0,0,0,0,0,1,0,0.175466,-4.0221,-4.0221,-9.81,
0.42,0,0,0,0,0,1,0,0.134755,-4.1202,-4.1202,-9.81,
0.43,0,0,0,0,0,1,0,0.0930623,-4.2183,-4.2183,-9.81,
0.44,0,0,0,0,0,1,0,0.0503888,-4.3164,-4.3164,-9.81,
0.45,0,0,0,0,0,1,0,0.00673432,-4.4145,-4.4145,-9.81,
0.451523,0,0,0,0,0,1,0,-3.36536e-016,-4.42944,-4.42944,-9.81,
0.451523,3.10061,1,0,1,0,1,1,3.07134e-014,3.10061,3.10061,-9.81,
0.46,3.10061,1,0,0,0,1,0,0.0259315,3.01745,3.01745,-9.81,
0.47,3.10061,1,0,0,0,1,0,0.0556155,2.91935,2.91935,-9.81,
0.48,3.10061,1,0,0,0,1,0,0.0843184,2.82125,2.82125,-9.81,
0.49,3.10061,1,0,0,0,1,0,0.11204,2.72315,2.72315,-9.81,
0.5,3.10061,1,0,0,0,1,0,0.138781,2.62505,2.62505,-9.81,
0.51,3.10061,1,0,0,0,1,0,0.164541,2.52695,2.52695,-9.81,
0.52,3.10061,1,0,0,0,1,0,0.18932,2.42885,2.42885,-9.81,
0.53,3.10061,1,0,0,0,1,0,0.213118,2.33075,2.33075,-9.81,
0.54,3.10061,1,0,0,0,1,0,0.235935,2.23265,2.23265,-9.81,
0.55,3.10061,1,0,0,0,1,0,0.257771,2.13455,2.13455,-9.81,
0.56,3.10061,1,0,0,0,1,0,0.278626,2.03645,2.03645,-9.81,
0.57,3.10061,1,0,0,0,1,0,0.2985,1.93835,1.93835,-9.81,
0.58,3.10061,1,0,0,0,1,0,0.317393,1.84025,1.84025,-9.81,
0.59,3.10061,1,0,0,0,1,0,0.335305,1.74215,1.74215,-9.81,
0.6,3.10061,1,0,0,0,1,0,0.352236,1.64405,1.64405,-9.81,
0.61,3.10061,1,0,0,0,1,0,0.368186,1.54595,1.54595,-9.81,
0.62,3.10061,1,0,0,0,1,0,0.383155,1.44785,1.44785,-9.81,
0.63,3.10061,1,0,0,0,1,0,0.397143,1.34975,1.34975,-9.81,
0.64,3.10061,1,0,0,0,1,0,0.41015,1.25165,1.25165,-9.81,
0.65,3.10061,1,0,0,0,1,0,0.422176,1.15355,1.15355,-9.81,
0.66,3.10061,1,0,0,0,1,0,0.433221,1.05545,1.05545,-9.81,
0.67,3.10061,1,0,0,0,1,0,0.443285,0.957348,0.957348,-9.81,
0.68,3.10061,1,0,0,0,1,0,0.452368,0.859248,0.859248,-9.81,
0.69,3.10061,1,0,0,0,1,0,0.46047,0.761148,0.761148,-9.81,
0.7,3.10061,1,0,0,0,1,0,0.467591,0.663048,0.663048,-9.81,
0.71,3.10061,1,0,0,0,1,0,0.473731,0.564948,0.564948,-9.81,
0.72,3.10061,1,0,0,0,1,0,0.47889,0.466848,0.466848,-9.81,
0.73,3.10061,1,0,0,0,1,0,0.483068,0.368748,0.368748,-9.81,
0.74,3.10061,1,0,0,0,1,0,0.486265,0.270648,0.270648,-9.81,
0.75,3.10061,1,0,0,0,1,0,0.488481,0.172548,0.172548,-9.81,
0.76,3.10061,1,0,0,0,1,0,0.489716,0.0744478,0.0744478,-9.81,
0.767589,3.10061,1,0,0,0,1,0,0.489998,-4.44089e-016,-4.44089e-016,-9.81,
0.77,3.10061,1,0,0,0,1,0,0.489968,-0.0236522,-0.0236522,-9.81,
0.78,3.10061,1,0,0,0,1,0,0.48924,-0.121752,-0.121752,-9.81,
0.79,3.10061,1,0,0,0,1,0,0.487532,-0.219852,-0.219852,-9.81,
0.8,3.10061,1,0,0,0,1,0,0.484843,-0.317952,-0.317952,-9.81,
0.81,3.10061,1,0,0,0,1,0,0.481173,-0.416052,-0.416052,-9.81,
0.82,3.10061,1,0,0,0,1,0,0.476522,-0.514152,-0.514152,-9.81,
0.83,3.10061,1,0,0,0,1,0,0.47089,-0.612252,-0.612252,-9.81,
0.84,3.10061,1,0,0,0,1,0,0.464277,-0.710352,-0.710352,-9.81,
0.85,3.10061,1,0,0,0,1,0,0.456683,-0.808452,-0.808452,-9.81,
0.86,3.10061,1,0,0,0,1,0,0.448108,-0.906552,-0.906552,-9.81,
0.87,3.10061,1,0,0,0,1,0,0.438552,-1.00465,-1.00465,-9.81,
0.88,3.10061,1,0,0,0,1,0,0.428015,-1.10275,-1.10275,-9.81,
0.89,3.10061,1,0,0,0,1,0,0.416497,-1.20085,-1.20085,-9.81,
0.9,3.10061,1,0,0,0,1,0,0.403998,-1.29895,-1.29895,-9.81,
0.91,3.10061,1,0,0,0,1,0,0.390518,-1.39705,-1.39705,-9.81,
0.92,3.10061,1,0,0,0,1,0,0.376057,-1.49515,-1.49515,-9.81,
0.93,3.10061,1,0,0,0,1,0,0.360615,-1.59325,-1.59325,-9.81,
0.94,3.10061,1,0,0,0,1,0,0.344192,-1.69135,-1.69135,-9.81,
0.95,3.10061,1,0,0,0,1,0,0.326788,-1.78945,-1.78945,-9.81,
0.96,3.10061,1,0,0,0,1,0,0.308403,-1.88755,-1.88755,-9.81,
0.97,3.10061,1,0,0,0,1,0,0.289037,-1.98565,-1.98565,-9.81,
0.98,3.10061,1,0,0,0,1,0,0.26869,-2.08375,-2.08375,-9.81,
0.99,3.10061,1,0,0,0,1,0,0.247362,-2.18185,-2.18185,-9.81,
1,3.10061,1,0,0,0,1,0,0.225053,-2.27995,-2.27995,-9.81,
1,3.10061,1,0,0,0,1,0,0.225053,-2.27995,-2.27995,-9.81,
