"time","v_new","n_bounce","$whenCondition3","$whenCondition2","$whenCondition1","flying","impact","h","v","der(h)","der(v)",
0,0,0,0,0,0,1,0,1,0,0,-9.81,
0,0,0,0,0,0,1,0,1,0,0,-9.81,
0.01,0,0,0,0,0,1,0,0.999507,-0.0981,-0.0981,-9.81,
0.02,0,0,0,0,0,1,0,0.998035,-0.1962,-0.1962,-9.81,
0.03,0,0,0,0,0,1,0,0.995582,-0.2943,-0.2943,-9.81,
0.04,0,0,0,0,0,1,0,0.992149,-0.3924,-0.3924,-9.81,
0.05,0,0,0,0,0,1,0,0.987734,-0.4905,-0.4905,-9.81,
0.06,0,0,0,0,0,1,0,0.982339,-0.5886,-0.5886,-9.81,
0.07,0,0,0,0,0,1,0,0.975962,-0.6867,-0.6867,-9.81,
0.08,0,0,0,0,0,1,0,0.968605,-0.7848,-0.7848,-9.81,
0.09,0,0,0,0,0,1,0,0.960266,-0.8829,-0.8829,-9.81,
0.1,0,0,0,0,0,1,0,0.950947,-0.981,-0.981,-9.81,
0.11,0,0,0,0,0,1,0,0.940646,-1.0791,-1.0791,-9.81,
0.12,0,0,0,0,0,1,0,0.929365,-1.1772,-1.1772,-9.81,
0.13,0,0,0,0,0,1,0,0.917102,-1.2753,-1.2753,-9.81,
0.14,0,0,0,0,0,1,0,0.903859,-1.3734,-1.3734,-9.81,
0.15,0,0,0,0,0,1,0,0.889634,-1.4715,-1.4715,-9.81,
0.16,0,0,0,0,0,1,0,0.874429,-1.5696,-1.5696,-9.81,
0.17,0,0,0,0,0,1,0,0.858242,-1.6677,-1.6677,-9.81,
0.18,0,0,0,0,0,1,0,0.841075,-1.7658,-1.7658,-9.81,
0.19,0,0,0,0,0,1,0,0.822926,-1.8639,-1.8639,-9.81,
0.2,0,0,0,0,0,1,0,0.803797,-1.962,-1.962,-9.81,
0.21,0,0,0,0,0,1,0,0.783686,-2.0601,-2.0601,-9.81,
0.22,0,0,0,0,0,1,0,0.762595,-2.1582,-2.1582,-9.81,
0.23,0,0,0,0,0,1,0,0.740522,-2.2563,-2.2563,-9.81,
0.24,0,0,0,0,0,1,0,0.717469,-2.3544,-2.3544,-9.81,
0.25,0,0,0,0,0,1,0,0.693434,-2.4525,-2.4525,-9.81,
0.26,0,0,0,0,0,1,0,0.668419,-2.5506,-2.5506,-9.81,
0.27,0,0,0,0,0,1,0,0.642422,-2.6487,-2.6487,-9.81,
0.28,0,0,0,0,0,1,0,0.615445,-2.7468,-2.7468,-9.81,
0.29,0,0,0,0,0,1,0,0.587486,-2.8449,-2.8449,-9.81,
0.3,0,0,0,0,0,1,0,0.558547,-2.943,-2.943,-9.81,
0.31,0,0,0,0,0,1,0,0.528626,-3.0411,-3.0411,-9.81,
0.32,0,0,0,0,0,1,0,0.497725,-3.1392,-3.1392,-9.81,
0.33,0,0,0,0,0,1,0,0.465842,-3.2373,-3.2373,-9.81,
0.34,0,0,0,0,0,1,0,0.432979,-3.3354,-3.3354,-9.81,
