"time","load.phi","load.w","PI.x","PI.y"
0,0,0,0,0
0.00080000000000000004,0,0,0,0
0.0016000000000000001,0,0,0,0
0.002,0,0,0,0
0.002,0,0,0,0
0.0024000000000000002,0,0,0,0
0.0032000000000000002,0,0,0,0
0.0040000000000000001,0,0,0,0
0.0040000000000000001,0,0,0,0
0.0048000000000000004,0,0,0,0
0.0055999999999999999,0,0,0,0
0.0060000000000000001,0,0,0,0
0.0060000000000000001,0,0,0,0
0.0064000000000000003,0,0,0,0
0.0072000000000000007,0,0,0,0
0.0080000000000000002,0,0,0,0
0.0080000000000000002,0,0,0,0
0.0088000000000000005,0,0,0,0
0.0096000000000000009,0,0,0,0
0.01,0,0,0,0
0.01,0,0,1.2e-05,0.30119999999999997
0.010400000000000001,2.409642950638457e-09,1.2048000000000058e-05,1.2e-05,0.30119999999999997
0.0112,2.1686453463066277e-08,3.6143999999999991e-05,1.2e-05,0.30119999999999997
0.012,6.0240056246223882e-08,6.0239999999999999e-05,1.2e-05,0.30119999999999997
0.012,6.0240056246223882e-08,6.0239999999999999e-05,2.375904e-05,0.296351904
0.012800000000000001,1.1791548621145472e-07,8.3948152320000014e-05,2.375904e-05,0.296351904
0.013600000000000001,1.9455729393885491e-07,0.00010765630464000001,2.375904e-05,0.296351904
0.014,2.399906344913331e-07,0.00011951038079999998,2.375904e-05,0.296351904
0.014,2.399906344913331e-07,0.00011951038079999998,3.52809984768e-05,0.29157706176768
0.014400000000000001,2.9012744488389758e-07,0.00013117346327070725,3.52809984768e-05,0.29157706176768
0.0152,4.043966916535989e-07,0.00015449962821212164,3.52809984768e-05,0.29157706176768
0.016,5.3732686289410136e-07,0.00017782579315353604,3.52809984768e-05,0.29157706176768
0.016,5.3732686289410136e-07,0.00017782579315353604,4.6569695304185857e-05,0.286874390215065
0.016800000000000002,6.8876764153513055e-07,0.00020077574437074136,4.6569695304185857e-05,0.286874390215065
0.017600000000000001,8.5856824166430043e-07,0.00022372569558794651,4.6569695304185857e-05,0.286874390215065
0.018000000000000002,9.5035351837488184e-07,0.00023520067119654916,4.6569695304185857e-05,0.286874390215065
0.018000000000000002,9.5035351837488184e-07,0.00023520067119654916,5.7628892619399657e-05,0.28224282214228502
0.0184,1.0466917696780145e-06,0.00024649038408224044,5.7628892619399657e-05,0.28224282214228502
0.019200000000000002,1.2529158571031488e-06,0.00026906980985362333,5.7628892619399657e-05,0.28224282214228502
0.02,1.477203477902589e-06,0.00029164923562500605,5.7628892619399657e-05,0.28224282214228502
0.02,1.477203477902589e-06,0.00029164923562500605,0.00010434411939866744,1.1783150814215613
0.020800000000000003,1.7482296211114723e-06,0.00038591444213873139,0.00010434411939866744,1.1783150814215613
