time u_f u_wg 
0.221111 0.000016 0.000115 
0.222222 0.000016 0.000115 
0.223333 0.000016 0.000115 
0.224444 0.000017 0.000114 
0.225556 0.000017 0.000114 
0.226667 0.000017 0.000114 
0.227778 0.000017 0.000113 
0.228889 0.000017 0.000113 
0.230000 0.000017 0.000113 
0.231111 0.000017 0.000112 
0.232222 0.000017 0.000112 
0.233333 0.000017 0.000111 
0.234444 0.000017 0.000111 
0.235556 0.000017 0.000111 
0.236667 0.000017 0.000110 
0.237778 0.000017 0.000110 
0.238889 0.000017 0.000109 
0.240000 0.000018 0.000109 
0.241111 0.000018 0.000108 
0.242222 0.000018 0.000108 
0.243333 0.000018 0.000107 
0.244444 0.000018 0.000106 
0.245556 0.000018 0.000106 
0.246667 0.000018 0.000105 
0.247778 0.000018 0.000105 
0.248889 0.000018 0.000104 
0.250000 0.000018 0.000103 
0.251111 0.000019 0.000102 
0.252222 0.000019 0.000102 
0.253333 0.000019 0.000101 
0.254444 0.000019 0.000100 
0.255556 0.000019 0.000099 
0.256667 0.000019 0.000098 
0.257778 0.000019 0.000098 
0.258889 0.000019 0.000097 
0.260000 0.000020 0.000096 
0.261111 0.000020 0.000095 
0.262222 0.000020 0.000094 
0.263333 0.000020 0.000093 
0.264444 0.000020 0.000092 
0.265556 0.000020 0.000091 
0.266667 0.000021 0.000089 
0.267778 0.000021 0.000088 
0.268889 0.000021 0.000087 
0.270000 0.000021 0.000086 
0.271111 0.000022 0.000085 
0.272222 0.000022 0.000084 
0.273333 0.000022 0.000082 
0.274444 0.000022 0.000081 
0.275556 0.000023 0.000080 
0.276667 0.000023 0.000078 
0.277778 0.000023 0.000077 
0.278889 0.000024 0.000076 
0.280000 0.000024 0.000074 
0.281111 0.000024 0.000073 
0.282222 0.000025 0.000071 
0.283333 0.000025 0.000070 
0.284444 0.000026 0.000068 
0.285556 0.000026 0.000067 
0.286667 0.000027 0.000066 
0.287778 0.000028 0.000064 
0.288889 0.000028 0.000063 
0.290000 0.000029 0.000061 
0.291111 0.000030 0.000060 
0.292222 0.000031 0.000058 
0.293333 0.000032 0.000057 
0.294444 0.000033 0.000055 
0.295556 0.000035 0.000054 
0.296667 0.000036 0.000052 
0.297778 0.000038 0.000051 
0.298889 0.000040 0.000049 
0.300000 0.000042 0.000048 
0.301111 0.000045 0.000046 
0.302222 0.000048 0.000045 
0.303333 0.000052 0.000043 
0.304444 0.000058 0.000042 
0.305556 0.000064 0.000041 
0.306667 0.000072 0.000039 
0.307778 0.000084 0.000038 
0.308889 0.000101 0.000037 
0.310000 0.000128 0.000035 
0.311111 0.000179 0.000034 
0.312222 0.000305 0.000033 
0.313333 0.001207 0.000032 
0.314444 0.179608 0.000022 
0.315556 0.308134 0.000018 
0.316667 0.452762 0.000015 
0.317778 0.619810 0.000012 
0.318889 0.810272 0.000010 
0.320000 0.997083 0.000008 
0.321111 0.999686 0.000008 
0.322222 0.999830 0.000007 
0.323333 0.999882 0.000006 
0.324444 0.999908 0.000006 
0.325556 0.999925 0.000006 
0.326667 0.999936 0.000005 
0.327778 0.999943 0.000005 
0.328889 0.999950 0.000005 
0.330000 0.999954 0.000004 
0.331111 0.999958 0.000004 
0.332222 0.999961 0.000004 
0.333333 0.999964 0.000004 
0.334444 0.999966 0.000004 
0.335556 0.999968 0.000004 
0.336667 0.999970 0.000003 
0.337778 0.999972 0.000003 
0.338889 0.999973 0.000003 
0.340000 0.999974 0.000003 
0.341111 0.999975 0.000003 
0.342222 0.999976 0.000003 
0.343333 0.999977 0.000003 
0.344444 0.999978 0.000003 
0.345556 0.999979 0.000003 
0.346667 0.999979 0.000003 
0.347778 0.999980 0.000002 
0.348889 0.999981 0.000002 
0.350000 0.999981 0.000002 
0.351111 0.999982 0.000002 
0.352222 0.999982 0.000002 
0.353333 0.999982 0.000002 
0.354444 0.999983 0.000002 
0.355556 0.999983 0.000002 
0.356667 0.999984 0.000002 
0.357778 0.999984 0.000002 
0.358889 0.999984 0.000002 
0.360000 0.999985 0.000002 
0.361111 0.999985 0.000002 
0.362222 0.999985 0.000002 
0.363333 0.999985 0.000002 
0.364444 0.999986 0.000002 
0.365556 0.999986 0.000002 
0.366667 0.999986 0.000002 
0.367778 0.999986 0.000002 
0.368889 0.999986 0.000002 
0.370000 0.999986 0.000002 
0.371111 0.999986 0.000002 
0.372222 0.999987 0.000002 
0.373333 0.999987 0.000002 
0.374444 0.999987 0.000002 
0.375556 0.999987 0.000002 
0.376667 0.999987 0.000002 
0.377778 0.999987 0.000001 
0.378889 0.999987 0.000001 
0.380000 0.999987 0.000001 
0.381111 0.999987 0.000001 
0.382222 0.999987 0.000001 
0.383333 0.999987 0.000001 
0.384444 0.999987 0.000001 
0.385556 0.999987 0.000001 
0.386667 0.999987 0.000001 
0.387778 0.999987 0.000001 
0.388889 0.999986 0.000001 
0.390000 0.999986 0.000001 
0.391111 0.999986 0.000001 
0.392222 0.999986 0.000001 
0.393333 0.999986 0.000001 
0.394444 0.999985 0.000001 
0.395556 0.999985 0.000001 
0.396667 0.999984 0.000001 
0.397778 0.999984 0.000001 
0.398889 0.999983 0.000001 
0.400000 0.999983 0.000001 
0.401111 0.999982 0.000001 
0.402222 0.999981 0.000001 
0.403333 0.999980 0.000001 
0.404444 0.999978 0.000001 
0.405556 0.999976 0.000001 
0.406667 0.999974 0.000001 
0.407778 0.999971 0.000001 
0.408889 0.999967 0.000001 
0.410000 0.999961 0.000001 
0.411111 0.999951 0.000001 
0.412222 0.999935 0.000001 
0.413333 0.999898 0.000001 
0.414444 0.999750 0.000001 
0.415556 0.958632 0.000001 
0.416667 0.850942 0.000001 
0.417778 0.756934 0.000002 
0.418889 0.674729 0.000002 
0.420000 0.602540 0.000002 
0.421111 0.538863 0.000002 
0.422222 0.482443 0.000002 
0.423333 0.432239 0.000002 
0.424444 0.387384 0.000002 
0.425556 0.347153 0.000002 
0.426667 0.310939 0.000002 
0.427778 0.278230 0.000003 
0.428889 0.248592 0.000003 
0.430000 0.221655 0.000003 
0.431111 0.197105 0.000003 
0.432222 0.174670 0.000003 
0.433333 0.154116 0.000003 
0.434444 0.135240 0.000003 
0.435556 0.117866 0.000004 
0.436667 0.101838 0.000004 
0.437778 0.087023 0.000004 
0.438889 0.073300 0.000004 
0.440000 0.060564 0.000005 
0.441111 0.048721 0.000005 
0.442222 0.037691 0.000005 
0.443333 0.027400 0.000005 
0.444444 0.017788 0.000006 
0.445556 0.008831 0.000006 
0.446667 0.001220 0.000006 
0.447778 0.000150 0.000007 
0.448889 0.000075 0.000007 
0.450000 0.000050 0.000007 
0.451111 0.000037 0.000007 
0.452222 0.000029 0.000008 
0.453333 0.000024 0.000008 
0.454444 0.000021 0.000008 
0.455556 0.000018 0.000009 
0.456667 0.000016 0.000009 
0.457778 0.000014 0.000010 
0.458889 0.000013 0.000010 
0.460000 0.000012 0.000011 
0.461111 0.000011 0.000011 
0.462222 0.000010 0.000012 
0.463333 0.000009 0.000013 
0.464444 0.000009 0.000014 
0.465556 0.000008 0.000015 
0.466667 0.000008 0.000016 
0.467778 0.000007 0.000017 
0.468889 0.000007 0.000018 
0.470000 0.000006 0.000020 
0.471111 0.000006 0.000022 
0.472222 0.000006 0.000025 
0.473333 0.000006 0.000027 
0.474444 0.000005 0.000031 
0.475556 0.000005 0.000035 
0.476667 0.000005 0.000041 
0.477778 0.000005 0.000048 
0.478889 0.000004 0.000058 
0.480000 0.000004 0.000072 
0.481111 0.000004 0.000094 
0.482222 0.000004 0.000132 
0.483333 0.000004 0.000207 
0.484444 0.000004 0.000436 
0.485556 0.000004 0.028704 
0.486667 0.000004 0.999470 
0.487778 0.000003 0.999708 
0.488889 0.000003 0.999781 
0.490000 0.000003 0.999813 
0.491111 0.000003 0.999825 
0.492222 0.000003 0.999826 
0.493333 0.000003 0.999814 
0.494444 0.000003 0.999783 
0.495556 0.000003 0.999712 
0.496667 0.000003 0.999484 
0.497778 0.000003 0.592464 
0.498889 0.000003 0.000406 
0.500000 0.000004 0.000181 
