"time","u_f","u_wg"
0.0,8.550195211801153e-07,4.855323958934428e-05
0.0011111111111111,8.550195211801153e-07,4.855323958934428e-05
0.0022222222222222,8.615758790759365e-07,4.258957204379799e-05
0.0033333333333333,8.677169494706696e-07,3.822043036821272e-05
0.0044444444444444,8.73522463366442e-07,3.487433857228339e-05
0.0055555555555555,8.790477541586519e-07,3.22264618762103e-05
0.0066666666666666,8.843335033724054e-07,3.007765704337547e-05
0.0077777777777777,8.894109191875881e-07,2.829864922133214e-05
0.0088888888888888,8.943047345302024e-07,2.680166501022695e-05
0.01,8.990350601551844e-07,2.552490991957885e-05
0.0111111111111111,9.036185906663686e-07,2.442355895582195e-05
0.0122222222222222,9.080694228847264e-07,2.346426990847702e-05
0.0133333333333333,9.123996306517282e-07,2.262170542346686e-05
0.0144444444444444,9.166196804191302e-07,2.187625238198462e-05
0.0155555555555555,9.207387392250032e-07,2.121248224893918e-05
0.0166666666666666,9.247649078211156e-07,2.061808506250666e-05
0.0177777777777777,9.28705400435639e-07,2.008311483343798e-05
0.0188888888888888,9.325666856565984e-07,1.95994448221718e-05
0.02,9.36354598444772e-07,1.91603674024616e-05
0.0211111111111111,9.400744303427944e-07,1.876029550131126e-05
0.0222222222222222,9.437310029671034e-07,1.839453666541727e-05
0.0233333333333333,9.473287285077498e-07,1.805911988683579e-05
0.0244444444444444,9.50871660006764e-07,1.775066131231665e-05
0.0255555555555555,9.54363533504945e-07,1.746625898963886e-05
0.0266666666666666,9.578078036538804e-07,1.720340956079122e-05
0.0277777777777777,9.612076740273377e-07,1.695994172799897e-05
0.0288888888888888,9.645661230963395e-07,1.67339626701766e-05
0.03,9.678859266286027e-07,1.652381455362094e-05
0.0311111111111111,9.71169677118008e-07,1.63280389801579e-05
0.0322222222222222,9.74419800730301e-07,1.614534772808565e-05
0.0333333333333333,9.776385721584118e-07,1.597459852028253e-05
0.0344444444444444,9.80828127707921e-07,1.581477483720715e-05
0.0355555555555555,9.839904768757175e-07,1.566496900632329e-05
0.0366666666666666,9.871275126389651e-07,1.552436796224253e-05
0.0377777777777777,9.90241020634712e-07,1.539224119679222e-05
